hop,affected_path_count,unique_affected_nodes,total_path_score,mean_path_score,max_path_score
1,6,6,3.5166666666666666,0.5861111111111111,0.9833333333333332
2,35,30,3.905041666666666,0.11157261904761903,0.3621944444444443
3,48,33,0.880433148148148,0.018342357253086417,0.07513999999999998
