node_id,canonical_firm_id,canonical_name,node_type,entity_type,entity_level,parent_firm_id,parent_canonical_name,year
2,FIRM_0003,Activision Blizzard,target_entity,gaming,subsidiary,FIRM_0097,Microsoft,2023
3,FIRM_0004,Alibaba,source_firm,company,parent,,,2023
4,FIRM_0005,Alibaba Cloud,target_entity,cloud_provider,service,FIRM_0004,Alibaba,2023
5,FIRM_0006,Alphabet,target_entity,holding_company,parent,,,2023
6,FIRM_0007,Altair Engineering,source_firm,engineering_software,parent,,,2023
7,FIRM_0009,Amazon,source_firm,company,parent,,,2023
8,FIRM_0012,Amazon Web Services,target_entity,cloud_provider,service,FIRM_0009,Amazon,2023
10,FIRM_0016,Ant Group / Alipay,target_entity,fintech,affiliate,FIRM_0004,Alibaba,2023
11,FIRM_0017,Anthropic,target_entity,ai_lab,company,,,2023
14,FIRM_0023,Applica,target_entity,ai_document_processing,subsidiary,FIRM_0155,Snowflake,2023
15,FIRM_0024,BNP Paribas,target_entity,financial_services,parent,,,2023
16,FIRM_0025,BNY Mellon,target_entity,financial_services,parent,,,2023
17,FIRM_0026,Bilibili,target_entity,media_platform,parent,,,2023
19,FIRM_0029,Cainiao,target_entity,logistics,subsidiary,FIRM_0004,Alibaba,2023
22,FIRM_0032,Cerner,target_entity,healthcare_it,subsidiary,FIRM_0117,Oracle,2023
23,FIRM_0033,China Broadcasting Network,target_entity,telecommunications,company,,,2023
31,FIRM_0041,Couchbase,source_firm,database_platform,parent,,,2023
33,FIRM_0044,Daraz,target_entity,ecommerce,subsidiary,FIRM_0004,Alibaba,2023
36,FIRM_0048,Dell Technologies,target_entity,hardware,parent,,,2023
38,FIRM_0054,Ernst & Young,target_entity,professional_services,parent,,,2023
40,FIRM_0057,First Citizens Bank,target_entity,banking,subsidiary,FIRM_0056,First Citizens BancShares,2023
42,FIRM_0059,Flex,target_entity,manufacturing,parent,,,2023
43,FIRM_0060,GitHub,target_entity,developer_platform,subsidiary,FIRM_0097,Microsoft,2023
44,FIRM_0062,Google Cloud,target_entity,cloud_provider,service,FIRM_0061,Google,2023
45,FIRM_0063,Google DeepMind,target_entity,ai_research,subsidiary,FIRM_0061,Google,2023
48,FIRM_0067,Hewlett Packard Enterprise,target_entity,enterprise_hardware,parent,,,2023
49,FIRM_0069,IBM,source_firm,technology_company,parent,,,2023
54,FIRM_0076,JPMorgan Chase Bank,target_entity,banking,subsidiary,FIRM_0075,JPMorgan Chase,2023
58,FIRM_0081,Lazada,target_entity,ecommerce,subsidiary,FIRM_0004,Alibaba,2023
59,FIRM_0082,LeapYear Technologies,target_entity,privacy_ml,subsidiary,FIRM_0155,Snowflake,2023
60,FIRM_0083,Lenovo,target_entity,hardware,parent,,,2023
61,FIRM_0084,LinkedIn,target_entity,social_platform,subsidiary,FIRM_0097,Microsoft,2023
63,FIRM_0086,MGM Holdings,target_entity,media,subsidiary,FIRM_0009,Amazon,2023
71,FIRM_0097,Microsoft,source_firm,company,parent,,,2023
72,FIRM_0098,Microsoft Azure,target_entity,cloud_provider,service,FIRM_0097,Microsoft,2023
74,FIRM_0100,MongoDB,source_firm,database_platform,parent,,,2023
76,FIRM_0103,Mountain US Corporation,target_entity,subsidiary_unknown,subsidiary,FIRM_0155,Snowflake,2023
77,FIRM_0104,NFL,target_entity,sports_league,organization,,,2023
80,FIRM_0107,NetApp,target_entity,storage,parent,,,2023
81,FIRM_0110,Nuance Communications,target_entity,ai_software,subsidiary,FIRM_0097,Microsoft,2023
82,FIRM_0113,One Medical,target_entity,healthcare,subsidiary,FIRM_0009,Amazon,2023
83,FIRM_0114,Open source community,target_entity,open_source,community,,,2023
84,FIRM_0115,OpenAI,target_entity,ai_lab,subsidiary,FIRM_0116,OpenAI Group,2023
85,FIRM_0117,Oracle,source_firm,enterprise_software,parent,,,2023
86,FIRM_0118,Oracle Financial Services Software,target_entity,financial_services_software,subsidiary,FIRM_0117,Oracle,2023
93,FIRM_0125,PricewaterhouseCoopers,target_entity,professional_services,parent,,,2023
95,FIRM_0129,Red Hat,target_entity,open_source_software,subsidiary,FIRM_0069,IBM,2023
97,FIRM_0131,Rivian,target_entity,automotive,parent,,,2023
98,FIRM_0132,SAP,source_firm,enterprise_software,parent,,,2023
100,FIRM_0134,SAP Ariba,target_entity,procurement_software,subsidiary,FIRM_0132,SAP,2023
101,FIRM_0135,SAP CallidusCloud,target_entity,sales_performance_software,subsidiary,FIRM_0132,SAP,2023
102,FIRM_0136,SAP Concur,target_entity,travel_expense_software,subsidiary,FIRM_0132,SAP,2023
103,FIRM_0137,SAP Deutschland,target_entity,enterprise_software,regional_entity,FIRM_0132,SAP,2023
