node_id,canonical_firm_id,canonical_name,node_type,year,direct_exposure,cascading_exposure,dependency_concentration,structural_non_substitutability,intrinsic_risk,incident_signal,network_criticality,node_vulnerability,direct_exposure_norm,cascading_exposure_norm,dependency_concentration_norm,structural_non_substitutability_norm,composite_risk
2,FIRM_0003,Activision Blizzard,target_entity,2022,0.132071575181689,0.013303788454300566,1.0,0.5,0.0,0.0,0.0591724457776578,0.01479311144441445,0.8809523809523809,0.8333333333333333,0.6964285714285714,0.40476190476190477,0.7869047619047619
3,FIRM_0004,Alibaba,source_firm,2022,0.0160235061548004,0.1718452932852244,0.10111319201827465,0.07692307692307693,0.65,0.0,0.7011744058575654,0.5002936014643914,0.39285714285714285,0.9880952380952381,0.30952380952380953,0.011904761904761904,0.4571428571428572
4,FIRM_0005,Alibaba Cloud,target_entity,2022,0.07094451712784464,0.005307537346800157,1.0,0.5,0.0,0.0,0.12148606141638296,0.03037151535409574,0.6964285714285714,0.6607142857142857,0.6964285714285714,0.40476190476190477,0.6601190476190476
5,FIRM_0006,Alphabet,target_entity,2022,0.0,0.0,1.0,0.5,0.0,0.0,0.05337674473855212,0.01334418618463803,0.16071428571428573,0.19642857142857142,0.6964285714285714,0.40476190476190477,0.29940476190476195
6,FIRM_0007,Altair Engineering,source_firm,2022,0.02868218075623573,0.11964583715813044,1.0000000000000004,0.5,0.3333333333333333,0.0,0.41825566216452015,0.2712305822077967,0.4523809523809524,0.9761904761904762,1.0,0.40476190476190477,0.6619047619047619
7,FIRM_0009,Amazon,source_firm,2022,0.021476882482569664,0.11443923237189532,0.5001097393689986,0.3333333333333333,0.49999999999999994,0.0,0.13001600893856824,0.282504002234642,0.41666666666666663,0.9642857142857143,0.38095238095238093,0.08928571428571429,0.48630952380952386
8,FIRM_0012,Amazon Web Services,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
10,FIRM_0016,Ant Group / Alipay,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
15,FIRM_0024,BNP Paribas,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.6264964086193137,0.0,0.15662410215482842,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
16,FIRM_0025,BNY Mellon,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
17,FIRM_0026,Bilibili,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
19,FIRM_0029,Cainiao,target_entity,2022,0.2551497367468396,0.008171988138948205,1.0,0.5,0.0,0.0,0.08568930139595936,0.02142232534898984,1.0,0.75,0.6964285714285714,0.40476190476190477,0.8297619047619048
