node_id,canonical_firm_id,canonical_name,node_type,year,direct_exposure,cascading_exposure,dependency_concentration,structural_non_substitutability,intrinsic_risk,incident_signal,network_criticality,node_vulnerability,direct_exposure_norm,cascading_exposure_norm,dependency_concentration_norm,structural_non_substitutability_norm,composite_risk
0,FIRM_0001,ADP,target_entity,2025,0.04981489070854781,0.017534535150093514,1.0,0.5,0.0,0.0,0.05139595174746878,0.012848987936867194,0.4329268292682926,0.5670731707317073,0.75,0.4573170731707317,0.525609756097561
1,FIRM_0002,Accenture,target_entity,2025,0.13933870023235734,0.030908699400527526,0.5555555555555556,0.3333333333333333,0.0,0.06225059856344772,0.11205917816956971,0.04357744418325436,0.7865853658536586,0.7378048780487805,0.4329268292682926,0.1524390243902439,0.6426829268292683
2,FIRM_0003,Activision Blizzard,target_entity,2025,0.1719541517639436,0.06068214923264707,1.0,0.5,0.0,0.0,0.04551921485206534,0.011379803713016334,0.8292682926829268,0.7682926829268293,0.75,0.4573170731707317,0.7640243902439026
3,FIRM_0004,Alibaba,source_firm,2025,0.013488456495064478,0.1680437808510923,0.7066326530612242,0.3333333333333333,0.6666666666666666,0.0,0.209925878564454,0.3858148029744468,0.3536585365853659,0.8780487804878048,0.4878048780487805,0.1524390243902439,0.46524390243902436
4,FIRM_0005,Alibaba Cloud,target_entity,2025,0.11936507936507935,0.017832219000578676,1.0,0.5,0.0,0.0,0.07294779395962664,0.01823694848990666,0.75,0.6280487804878049,0.75,0.4573170731707317,0.6963414634146342
5,FIRM_0006,Alphabet,target_entity,2025,0.0,0.0,0.6800000000000002,0.3333333333333333,0.0,0.0,0.07606457935399379,0.019016144838498446,0.15853658536585366,0.17682926829268295,0.475609756097561,0.1524390243902439,0.22500000000000003
7,FIRM_0009,Amazon,source_firm,2025,0.022987838687156596,0.19177518253773992,0.35156250000000006,0.25,0.7166666666666667,0.0,0.16113806876364262,0.398617850524244,0.36585365853658536,0.8902439024390243,0.3780487804878049,0.09146341463414634,0.4457317073170732
8,FIRM_0012,Amazon Web Services,target_entity,2025,0.12464572269105559,0.22200636561750697,1.0,0.5,0.0,0.0,0.04662783245132246,0.011656958112830615,0.7682926829268293,0.926829268292683,0.75,0.4573170731707317,0.7652439024390245
9,FIRM_0013,Amdocs,target_entity,2025,0.0795536013350128,0.006909329175192235,1.0,0.5,0.0,0.0,0.10106892801370708,0.02526723200342677,0.6341463414634146,0.4512195121951219,0.75,0.4573170731707317,0.603048780487805
10,FIRM_0016,Ant Group / Alipay,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
11,FIRM_0017,Anthropic,target_entity,2025,0.22985674382554167,0.022151290833689035,0.5224977043158862,0.3333333333333333,0.0,0.0,0.10721209118167024,0.02680302279541756,0.926829268292683,0.7073170731707318,0.4146341463414634,0.1524390243902439,0.703048780487805
12,FIRM_0018,Apache Kafka,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
13,FIRM_0020,Apache Spark,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
18,FIRM_0027,Bleu,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
19,FIRM_0029,Cainiao,target_entity,2025,0.07716296059488936,0.002697691299012896,1.0,0.5,0.0,0.0,0.03838015818821368,0.00959503954705342,0.5975609756097561,0.36585365853658536,0.75,0.4573170731707317,0.5676829268292684
21,FIRM_0031,Capgemini,target_entity,2025,0.13933870023235734,0.030908699400527526,0.5555555555555556,0.3333333333333333,0.0,0.007182761372705506,0.11205917816956971,0.029810484885568804,0.7865853658536586,0.7378048780487805,0.4329268292682926,0.1524390243902439,0.6426829268292683
22,FIRM_0032,Cerner,target_entity,2025,0.1496551695809531,0.054391433763215986,1.0,0.5,0.0,0.0,0.04850146430807811,0.012125366077019528,0.8048780487804877,0.7560975609756098,0.75,0.4573170731707317,0.7493902439024391
28,FIRM_0038,Cohere,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
30,FIRM_0040,Confluent,target_entity,2025,0.08952380952380952,0.013374164250434004,1.0,0.5,0.0,0.0,0.06066322642210093,0.015165806605525233,0.6585365853658537,0.4878048780487805,0.75,0.4573170731707317,0.6225609756097562
31,FIRM_0041,Couchbase,source_firm,2025,0.029611410750823866,0.1652728236797434,0.14866112650046168,0.1111111111111111,0.44999999999999996,0.0,0.4637760228859337,0.3409440057214834,0.3780487804878049,0.8658536585365852,0.3536585365853659,0.04878048780487805,0.4378048780487805
32,FIRM_0043,Crunchy Data Solutions,target_entity,2025,0.06588950543308994,0.01650879666028505,1.0,0.5,0.0,0.0,0.05647429314693329,0.014118573286733322,0.548780487804878,0.5121951219512195,0.75,0.4573170731707317,0.5725609756097562
34,FIRM_0046,Databricks,target_entity,2025,0.04981489070854781,0.017534535150093514,1.0,0.5,0.0,0.0007980845969672786,0.05139595174746878,0.013048509086109014,0.4329268292682926,0.5670731707317073,0.75,0.4573170731707317,0.525609756097561
35,FIRM_0047,Datavolo,target_entity,2025,0.07906740651970792,0.019810555992342063,1.0,0.5,0.0,0.0,0.06300724701441518,0.015751811753603795,0.6219512195121951,0.6829268292682927,0.75,0.4573170731707317,0.6432926829268294
36,FIRM_0048,Dell Technologies,target_entity,2025,0.051586245529183075,0.018204644769794123,1.0,0.5,0.0,0.0,0.030322431122286265,0.007580607780571566,0.5121951219512195,0.6585365853658537,0.75,0.4573170731707317,0.5835365853658537
37,FIRM_0050,Elasticsearch,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
38,FIRM_0054,Ernst & Young,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.05506783719074222,0.0,0.013766959297685556,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
39,FIRM_0055,Fireworks AI,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
42,FIRM_0059,Flex,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
43,FIRM_0060,GitHub,target_entity,2025,0.2063449821167323,0.0728185790791765,1.0,0.5,0.0,0.01675977653631285,0.04986115306057364,0.016655232399221623,0.9146341463414634,0.7804878048780488,0.75,0.4573170731707317,0.8091463414634148
44,FIRM_0062,Google Cloud,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
45,FIRM_0063,Google DeepMind,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
46,FIRM_0065,HashiCorp,target_entity,2025,0.24929144538211115,0.4440127312350139,1.0,0.5,0.0,0.0,0.06944614109312108,0.01736153527328027,0.951219512195122,0.9878048780487805,0.75,0.4573170731707317,0.8689024390243903
48,FIRM_0067,Hewlett Packard Enterprise,target_entity,2025,0.051586245529183075,0.018204644769794123,1.0,0.5,0.0,0.05107741420590583,0.030322431122286265,0.020349961332048024,0.5121951219512195,0.6585365853658537,0.75,0.4573170731707317,0.5835365853658537
49,FIRM_0069,IBM,source_firm,2025,0.5550159140437675,0.26520474523728005,0.13394773387198586,0.1111111111111111,0.4166666666666667,0.0,0.4131238935772225,0.31161430672763896,1.0,0.9390243902439025,0.3170731707317073,0.04878048780487805,0.7560975609756098
50,FIRM_0070,Infosys,target_entity,2025,0.16907741085882233,0.020283493425626242,0.5029585798816568,0.3333333333333333,0.0,0.0,0.16173215443580802,0.040433038608952004,0.8170731707317073,0.6951219512195123,0.40243902439024387,0.1524390243902439,0.6432926829268293
51,FIRM_0072,Intersect Power,target_entity,2025,0.006338714946166149,0.0,1.0,0.5,0.0,0.0,0.03581006565432175,0.008952516413580438,0.323170731707317,0.17682926829268295,0.75,0.4573170731707317,0.39268292682926825
52,FIRM_0073,Intime,target_entity,2025,0.1800469080547418,0.006294613031030088,1.0,0.5,0.0,0.0,0.057807670693133494,0.014451917673283373,0.8597560975609756,0.4329268292682926,0.75,0.4573170731707317,0.7121951219512196
57,FIRM_0080,LangChain,target_entity,2025,0.08952380952380952,0.013374164250434004,1.0,0.5,0.0,0.0,0.06066322642210093,0.015165806605525233,0.6585365853658537,0.4878048780487805,0.75,0.4573170731707317,0.6225609756097562
58,FIRM_0081,Lazada,target_entity,2025,0.07716296059488936,0.002697691299012896,1.0,0.5,0.0,0.0,0.03838015818821368,0.00959503954705342,0.5975609756097561,0.36585365853658536,0.75,0.4573170731707317,0.5676829268292684
60,FIRM_0083,Lenovo,target_entity,2025,0.051586245529183075,0.018204644769794123,1.0,0.5,0.0,0.0,0.030322431122286265,0.007580607780571566,0.5121951219512195,0.6585365853658537,0.75,0.4573170731707317,0.5835365853658537
61,FIRM_0084,LinkedIn,target_entity,2025,0.240735812469521,0.0849550089257059,1.0,0.5,0.0,0.07581803671189145,0.054203091269081946,0.03250528199524335,0.9390243902439025,0.7926829268292682,0.75,0.4573170731707317,0.8237804878048781
62,FIRM_0085,LlamaIndex,target_entity,2025,0.08952380952380952,0.013374164250434004,1.0,0.5,0.0,0.0,0.06066322642210093,0.015165806605525233,0.6585365853658537,0.4878048780487805,0.75,0.4573170731707317,0.6225609756097562
63,FIRM_0086,MGM Holdings,target_entity,2025,0.09301083178899026,0.005363829027003206,1.0,0.5,0.0,0.010375099760574621,0.03757726315548865,0.011988090729015818,0.6890243902439025,0.3963414634146341,0.75,0.4573170731707317,0.6195121951219513
66,FIRM_0091,Mandiant,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0039904229848363925,0.0,0.0009976057462090981,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
71,FIRM_0097,Microsoft,source_firm,2025,0.1820464476979412,0.8251510120830405,0.46407316011032085,0.25,0.8500000000000001,0.0023942537909018356,0.36105556737642064,0.5158624552918307,0.8780487804878048,1.0,0.3902439024390244,0.09146341463414634,0.7262195121951219
72,FIRM_0098,Microsoft Azure,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
73,FIRM_0099,Mistral AI,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
74,FIRM_0100,MongoDB,source_firm,2025,0.06687082125217003,0.3792972121154409,0.09794380165289256,0.0625,0.4666666666666666,0.0,0.8571428571428572,0.4476190476190476,0.5609756097560975,0.9634146341463414,0.3048780487804878,0.018292682926829267,0.5359756097560976
75,FIRM_0101,Moonshot AI,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
77,FIRM_0104,NFL,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
78,FIRM_0105,NVIDIA,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.160415003990423,0.0,0.04010375099760575,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
80,FIRM_0107,NetApp,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
81,FIRM_0110,Nuance Communications,target_entity,2025,0.2751266428223097,0.0970914387722353,1.0,0.5,0.0,0.0023942537909018356,0.05854502947759025,0.015234820817123022,0.9634146341463414,0.8170731707317073,0.75,0.4573170731707317,0.8408536585365854
82,FIRM_0113,One Medical,target_entity,2025,0.09301083178899026,0.005363829027003206,1.0,0.5,0.0,0.013567438148443736,0.03757726315548865,0.012786175325983097,0.6890243902439025,0.3963414634146341,0.75,0.4573170731707317,0.6195121951219513
83,FIRM_0114,Open source community,target_entity,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.17682926829268295,0.1524390243902439,0.8597560975609756,0.2310975609756098
