node_id,canonical_firm_id,canonical_name,node_type,year,direct_exposure,cascading_exposure,dependency_concentration,structural_non_substitutability,intrinsic_risk,incident_signal,network_criticality,node_vulnerability,direct_exposure_norm,cascading_exposure_norm,dependency_concentration_norm,structural_non_substitutability_norm,composite_risk
22,FIRM_0032,Cerner,target_entity,2022,0.2170762171758148,0.0019787709497206705,1.0,0.5,0.0,0.0,0.054154007301232966,0.013538501825308242,0.9642857142857143,0.42857142857142855,0.6964285714285714,0.40476190476190477,0.7476190476190475
23,FIRM_0033,China Broadcasting Network,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
24,FIRM_0034,China Mobile,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
25,FIRM_0035,China Telecom,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
26,FIRM_0036,China Unicom,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
27,FIRM_0037,Cloud4C,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
29,FIRM_0039,Concept Engineering,target_entity,2022,0.08769788824718762,0.009273905111182887,1.0,0.5,0.0,0.0,0.08066184327915767,0.020165460819789417,0.7678571428571429,0.7797619047619048,0.6964285714285714,0.40476190476190477,0.7196428571428571
31,FIRM_0041,Couchbase,source_firm,2022,0.008605347166799681,0.0,0.35147836191845383,0.2,0.3,0.0,0.19461199546179253,0.19865299886544813,0.38095238095238093,0.19642857142857142,0.36904761904761907,0.06547619047619048,0.31011904761904757
36,FIRM_0048,Dell Technologies,target_entity,2022,0.03445345439522322,0.00347055350981754,1.0,0.5,0.0,0.0,0.04623339165214261,0.011558347913035652,0.4761904761904762,0.6071428571428572,0.6964285714285714,0.40476190476190477,0.5392857142857144
38,FIRM_0054,Ernst & Young,target_entity,2022,0.0,0.0,0.0,1.0,0.0,0.05506783719074222,0.0,0.013766959297685556,0.16071428571428573,0.19642857142857142,0.15476190476190477,0.8571428571428571,0.23630952380952383
41,FIRM_0058,Fitbit,target_entity,2022,0.0013344186184638031,0.0,1.0,0.5,0.0,0.0,0.04533847073101654,0.011334617682754134,0.32142857142857145,0.19642857142857142,0.6964285714285714,0.40476190476190477,0.3797619047619048
