year,rank,focal_firm_id,focal_firm_name,node_type,composite_risk,main_risk_driver,direct_exposure_norm,cascading_exposure_norm,dependency_concentration_norm,structural_non_substitutability_norm,n_direct_upstream,n_twohop_upstream,path_type,upstream_firm_id,upstream_firm_name,intermediate_firm_id,intermediate_firm_name,edge_weight,relation_type,spillover_type,risk_language_score,contract_scale_score,no_alternative_flag,investment_flag,upstream_parent_group
2025,1,FIRM_0065,HashiCorp,target_entity,0.8689,Cascading Exposure,0.9512,0.9878,0.75,0.4573,1,8,direct_1hop,FIRM_0069,IBM,,,0.8,subsidiary,operational,0.3,3.0,1.0,1.0,
2025,1,FIRM_0065,HashiCorp,target_entity,0.8689,Cascading Exposure,0.9512,0.9878,0.75,0.4573,1,8,cascading_2hop,FIRM_0012,Amazon Web Services,FIRM_0069,IBM,0.32,partner→subsidiary,operational→operational,0.4,2.0,0.0,0.0,
2025,1,FIRM_0065,HashiCorp,target_entity,0.8689,Cascading Exposure,0.9512,0.9878,0.75,0.4573,1,8,cascading_2hop,FIRM_0097,Microsoft,FIRM_0069,IBM,0.34667,partner→subsidiary,performance→operational,0.5,2.0,0.0,0.0,
2025,1,FIRM_0065,HashiCorp,target_entity,0.8689,Cascading Exposure,0.9512,0.9878,0.75,0.4573,1,8,cascading_2hop,FIRM_0114,Open source community,FIRM_0069,IBM,0.37333,supplier→subsidiary,operational→operational,0.6,2.0,0.0,0.0,
2025,1,FIRM_0065,HashiCorp,target_entity,0.8689,Cascading Exposure,0.9512,0.9878,0.75,0.4573,1,8,cascading_2hop,FIRM_0117,Oracle,FIRM_0069,IBM,0.29333,partner→subsidiary,operational→operational,0.3,2.0,0.0,0.0,
2025,1,FIRM_0065,HashiCorp,target_entity,0.8689,Cascading Exposure,0.9512,0.9878,0.75,0.4573,1,8,cascading_2hop,FIRM_0121,Palo Alto Networks,FIRM_0069,IBM,0.16,partner→subsidiary,security→operational,0.2,1.0,0.0,0.0,
2025,1,FIRM_0065,HashiCorp,target_entity,0.8689,Cascading Exposure,0.9512,0.9878,0.75,0.4573,1,8,cascading_2hop,FIRM_0125,PricewaterhouseCoopers,FIRM_0069,IBM,0.4,partner→subsidiary,governance→operational,0.1,2.0,1.0,0.0,
2025,1,FIRM_0065,HashiCorp,target_entity,0.8689,Cascading Exposure,0.9512,0.9878,0.75,0.4573,1,8,cascading_2hop,FIRM_0132,SAP,FIRM_0069,IBM,0.29333,partner→subsidiary,operational→operational,0.3,2.0,0.0,0.0,
2025,1,FIRM_0065,HashiCorp,target_entity,0.8689,Cascading Exposure,0.9512,0.9878,0.75,0.4573,1,8,cascading_2hop,FIRM_0149,Salesforce,FIRM_0069,IBM,0.18667,partner→subsidiary,operational→operational,0.3,1.0,0.0,0.0,
2025,2,FIRM_0115,OpenAI,target_entity,0.8494,Direct Exposure,0.9756,0.8293,0.75,0.4573,1,6,direct_1hop,FIRM_0097,Microsoft,,,0.6,ai_provider,operational,0.7,0.5,1.0,1.0,
2025,2,FIRM_0115,OpenAI,target_entity,0.8494,Direct Exposure,0.9756,0.8293,0.75,0.4573,1,6,cascading_2hop,FIRM_0115,OpenAI,FIRM_0097,Microsoft,0.36,ai_provider→ai_provider,operational→operational,0.7,0.5,1.0,1.0,
2025,2,FIRM_0115,OpenAI,target_entity,0.8494,Direct Exposure,0.9756,0.8293,0.75,0.4573,1,6,cascading_2hop,FIRM_0003,Activision Blizzard,FIRM_0097,Microsoft,0.2,subsidiary→ai_provider,operational→operational,0.3,1.0,0.0,1.0,
2025,2,FIRM_0115,OpenAI,target_entity,0.8494,Direct Exposure,0.9756,0.8293,0.75,0.4573,1,6,cascading_2hop,FIRM_0110,Nuance Communications,FIRM_0097,Microsoft,0.32,subsidiary→ai_provider,operational→operational,0.3,1.0,1.0,1.0,
2025,2,FIRM_0115,OpenAI,target_entity,0.8494,Direct Exposure,0.9756,0.8293,0.75,0.4573,1,6,cascading_2hop,FIRM_0084,LinkedIn,FIRM_0097,Microsoft,0.28,subsidiary→ai_provider,operational→operational,0.3,0.5,1.0,1.0,
2025,2,FIRM_0115,OpenAI,target_entity,0.8494,Direct Exposure,0.9756,0.8293,0.75,0.4573,1,6,cascading_2hop,FIRM_0060,GitHub,FIRM_0097,Microsoft,0.24,subsidiary→ai_provider,operational→operational,0.3,0.0,1.0,1.0,
2025,2,FIRM_0115,OpenAI,target_entity,0.8494,Direct Exposure,0.9756,0.8293,0.75,0.4573,1,6,cascading_2hop,FIRM_0069,IBM,FIRM_0097,Microsoft,0.26,partner→ai_provider,performance→operational,0.5,2.0,0.0,0.0,
2025,3,FIRM_0110,Nuance Communications,target_entity,0.8409,Direct Exposure,0.9634,0.8171,0.75,0.4573,1,6,direct_1hop,FIRM_0097,Microsoft,,,0.5333,subsidiary,operational,0.3,1.0,1.0,1.0,
2025,3,FIRM_0110,Nuance Communications,target_entity,0.8409,Direct Exposure,0.9634,0.8171,0.75,0.4573,1,6,cascading_2hop,FIRM_0115,OpenAI,FIRM_0097,Microsoft,0.32,ai_provider→subsidiary,operational→operational,0.7,0.5,1.0,1.0,
2025,3,FIRM_0110,Nuance Communications,target_entity,0.8409,Direct Exposure,0.9634,0.8171,0.75,0.4573,1,6,cascading_2hop,FIRM_0003,Activision Blizzard,FIRM_0097,Microsoft,0.17778,subsidiary→subsidiary,operational→operational,0.3,1.0,0.0,1.0,
2025,3,FIRM_0110,Nuance Communications,target_entity,0.8409,Direct Exposure,0.9634,0.8171,0.75,0.4573,1,6,cascading_2hop,FIRM_0110,Nuance Communications,FIRM_0097,Microsoft,0.28444,subsidiary→subsidiary,operational→operational,0.3,1.0,1.0,1.0,
2025,3,FIRM_0110,Nuance Communications,target_entity,0.8409,Direct Exposure,0.9634,0.8171,0.75,0.4573,1,6,cascading_2hop,FIRM_0084,LinkedIn,FIRM_0097,Microsoft,0.24889,subsidiary→subsidiary,operational→operational,0.3,0.5,1.0,1.0,
2025,3,FIRM_0110,Nuance Communications,target_entity,0.8409,Direct Exposure,0.9634,0.8171,0.75,0.4573,1,6,cascading_2hop,FIRM_0060,GitHub,FIRM_0097,Microsoft,0.21333,subsidiary→subsidiary,operational→operational,0.3,0.0,1.0,1.0,
2025,3,FIRM_0110,Nuance Communications,target_entity,0.8409,Direct Exposure,0.9634,0.8171,0.75,0.4573,1,6,cascading_2hop,FIRM_0069,IBM,FIRM_0097,Microsoft,0.23111,partner→subsidiary,performance→operational,0.5,2.0,0.0,0.0,
2025,4,FIRM_0084,LinkedIn,target_entity,0.8238,Direct Exposure,0.939,0.7927,0.75,0.4573,1,6,direct_1hop,FIRM_0097,Microsoft,,,0.4667,subsidiary,operational,0.3,0.5,1.0,1.0,
2025,4,FIRM_0084,LinkedIn,target_entity,0.8238,Direct Exposure,0.939,0.7927,0.75,0.4573,1,6,cascading_2hop,FIRM_0115,OpenAI,FIRM_0097,Microsoft,0.28,ai_provider→subsidiary,operational→operational,0.7,0.5,1.0,1.0,
2025,4,FIRM_0084,LinkedIn,target_entity,0.8238,Direct Exposure,0.939,0.7927,0.75,0.4573,1,6,cascading_2hop,FIRM_0003,Activision Blizzard,FIRM_0097,Microsoft,0.15556,subsidiary→subsidiary,operational→operational,0.3,1.0,0.0,1.0,
2025,4,FIRM_0084,LinkedIn,target_entity,0.8238,Direct Exposure,0.939,0.7927,0.75,0.4573,1,6,cascading_2hop,FIRM_0110,Nuance Communications,FIRM_0097,Microsoft,0.24889,subsidiary→subsidiary,operational→operational,0.3,1.0,1.0,1.0,
2025,4,FIRM_0084,LinkedIn,target_entity,0.8238,Direct Exposure,0.939,0.7927,0.75,0.4573,1,6,cascading_2hop,FIRM_0084,LinkedIn,FIRM_0097,Microsoft,0.21778,subsidiary→subsidiary,operational→operational,0.3,0.5,1.0,1.0,
2025,4,FIRM_0084,LinkedIn,target_entity,0.8238,Direct Exposure,0.939,0.7927,0.75,0.4573,1,6,cascading_2hop,FIRM_0060,GitHub,FIRM_0097,Microsoft,0.18667,subsidiary→subsidiary,operational→operational,0.3,0.0,1.0,1.0,
2025,4,FIRM_0084,LinkedIn,target_entity,0.8238,Direct Exposure,0.939,0.7927,0.75,0.4573,1,6,cascading_2hop,FIRM_0069,IBM,FIRM_0097,Microsoft,0.20222,partner→subsidiary,performance→operational,0.5,2.0,0.0,0.0,
2025,5,FIRM_0060,GitHub,target_entity,0.8091,Direct Exposure,0.9146,0.7805,0.75,0.4573,1,6,direct_1hop,FIRM_0097,Microsoft,,,0.4,subsidiary,operational,0.3,0.0,1.0,1.0,
