year,rank,focal_firm_id,focal_firm_name,node_type,composite_risk,main_risk_driver,direct_exposure_norm,cascading_exposure_norm,dependency_concentration_norm,structural_non_substitutability_norm,n_direct_upstream,n_twohop_upstream,path_type,upstream_firm_id,upstream_firm_name,intermediate_firm_id,intermediate_firm_name,edge_weight,relation_type,spillover_type,risk_language_score,contract_scale_score,no_alternative_flag,investment_flag,upstream_parent_group
2022,1,FIRM_0129,Red Hat,target_entity,0.8619,Direct Exposure,0.9881,0.9405,0.6964,0.4048,1,6,direct_1hop,FIRM_0069,IBM,,,0.82,subsidiary,operational,0.4,3.0,1.0,1.0,
2022,1,FIRM_0129,Red Hat,target_entity,0.8619,Direct Exposure,0.9881,0.9405,0.6964,0.4048,1,6,cascading_2hop,FIRM_0024,BNP Paribas,FIRM_0069,IBM,0.24327,partner→subsidiary,financial→operational,0.1,2.0,0.0,0.0,
2022,1,FIRM_0129,Red Hat,target_entity,0.8619,Direct Exposure,0.9881,0.9405,0.6964,0.4048,1,6,cascading_2hop,FIRM_0076,JPMorgan Chase Bank,FIRM_0069,IBM,0.3772,partner→subsidiary,financial→operational,0.2,3.0,0.0,0.0,
2022,1,FIRM_0129,Red Hat,target_entity,0.8619,Direct Exposure,0.9881,0.9405,0.6964,0.4048,1,6,cascading_2hop,FIRM_0079,Kyndryl,FIRM_0069,IBM,0.39087,partner→subsidiary,financial→operational,0.7,2.0,0.0,0.0,
2022,1,FIRM_0129,Red Hat,target_entity,0.8619,Direct Exposure,0.9881,0.9405,0.6964,0.4048,1,6,cascading_2hop,FIRM_0114,Open source community,FIRM_0069,IBM,0.36627,supplier→subsidiary,operational→operational,0.6,2.0,0.0,0.0,
2022,1,FIRM_0129,Red Hat,target_entity,0.8619,Direct Exposure,0.9881,0.9405,0.6964,0.4048,1,6,cascading_2hop,FIRM_0125,PricewaterhouseCoopers,FIRM_0069,IBM,0.40727,partner→subsidiary,governance→operational,0.1,2.0,1.0,0.0,
2022,1,FIRM_0129,Red Hat,target_entity,0.8619,Direct Exposure,0.9881,0.9405,0.6964,0.4048,1,6,cascading_2hop,FIRM_0025,BNY Mellon,FIRM_0069,IBM,0.24327,partner→subsidiary,financial→operational,0.1,2.0,0.0,0.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,direct_1hop,FIRM_0004,Alibaba,,,0.51,subsidiary,operational,0.7,0.0,1.0,1.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0016,Ant Group / Alipay,FIRM_0004,Alibaba,0.2941,software_vendor→subsidiary,governance→operational,0.7,0.5,1.0,1.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0148,STO Express,FIRM_0004,Alibaba,0.119,investment_target→subsidiary,none→operational,0.0,1.0,0.0,1.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0175,YTO Express,FIRM_0004,Alibaba,0.119,investment_target→subsidiary,none→operational,0.0,1.0,0.0,1.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0026,Bilibili,FIRM_0004,Alibaba,0.119,investment_target→subsidiary,none→operational,0.0,1.0,0.0,1.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0033,China Broadcasting Network,FIRM_0004,Alibaba,0.119,investment_target→subsidiary,none→operational,0.0,1.0,0.0,1.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0094,Meinian Onehealth,FIRM_0004,Alibaba,0.119,investment_target→subsidiary,none→operational,0.0,1.0,0.0,1.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0167,VK Company,FIRM_0004,Alibaba,0.2261,investment_target→subsidiary,operational→operational,0.7,1.0,0.0,1.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0035,China Telecom,FIRM_0004,Alibaba,0.0765,cloud_provider→subsidiary,governance→operational,0.5,0.0,0.0,0.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0034,China Mobile,FIRM_0004,Alibaba,0.0765,cloud_provider→subsidiary,governance→operational,0.5,0.0,0.0,0.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0036,China Unicom,FIRM_0004,Alibaba,0.0765,cloud_provider→subsidiary,governance→operational,0.5,0.0,0.0,0.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0092,Mango Excellent Media,FIRM_0004,Alibaba,0.119,investment_target→subsidiary,none→operational,0.0,1.0,0.0,1.0,
2022,2,FIRM_0029,Cainiao,target_entity,0.8298,Direct Exposure,1.0,0.75,0.6964,0.4048,1,12,cascading_2hop,FIRM_0093,MegaFon,FIRM_0004,Alibaba,0.1955,investment_target→subsidiary,operational→operational,0.5,1.0,0.0,1.0,
2022,3,FIRM_0084,LinkedIn,target_entity,0.8202,Direct Exposure,0.9286,0.881,0.6964,0.4048,1,4,direct_1hop,FIRM_0097,Microsoft,,,0.4567,subsidiary,operational,0.3,0.5,1.0,1.0,
2022,3,FIRM_0084,LinkedIn,target_entity,0.8202,Direct Exposure,0.9286,0.881,0.6964,0.4048,1,4,cascading_2hop,FIRM_0110,Nuance Communications,FIRM_0097,Microsoft,0.19789,subsidiary→subsidiary,operational→operational,0.0,1.0,1.0,1.0,
2022,3,FIRM_0084,LinkedIn,target_entity,0.8202,Direct Exposure,0.9286,0.881,0.6964,0.4048,1,4,cascading_2hop,FIRM_0177,ZeniMax Media,FIRM_0097,Microsoft,0.14766,subsidiary→subsidiary,operational→operational,0.3,1.0,0.0,1.0,
2022,3,FIRM_0084,LinkedIn,target_entity,0.8202,Direct Exposure,0.9286,0.881,0.6964,0.4048,1,4,cascading_2hop,FIRM_0084,LinkedIn,FIRM_0097,Microsoft,0.20854,subsidiary→subsidiary,operational→operational,0.3,0.5,1.0,1.0,
2022,3,FIRM_0084,LinkedIn,target_entity,0.8202,Direct Exposure,0.9286,0.881,0.6964,0.4048,1,4,cascading_2hop,FIRM_0060,GitHub,FIRM_0097,Microsoft,0.1781,subsidiary→subsidiary,operational→operational,0.3,0.0,1.0,1.0,
