year,rank,focal_firm_id,focal_firm_name,node_type,composite_risk,main_risk_driver,direct_exposure_norm,cascading_exposure_norm,dependency_concentration_norm,structural_non_substitutability_norm,n_direct_upstream,n_twohop_upstream,path_type,upstream_firm_id,upstream_firm_name,intermediate_firm_id,intermediate_firm_name,edge_weight,relation_type,spillover_type,risk_language_score,contract_scale_score,no_alternative_flag,investment_flag,upstream_parent_group
2024,1,FIRM_0110,Nuance Communications,target_entity,0.8764,Direct Exposure,1.0,0.9583,0.7014,0.4444,1,5,direct_1hop,FIRM_0097,Microsoft,,,0.5233,subsidiary,operational,0.3,1.0,1.0,1.0,
2024,1,FIRM_0110,Nuance Communications,target_entity,0.8764,Direct Exposure,1.0,0.9583,0.7014,0.4444,1,5,cascading_2hop,FIRM_0115,OpenAI,FIRM_0097,Microsoft,0.27039,ai_provider→subsidiary,operational→operational,0.5,0.5,1.0,1.0,
2024,1,FIRM_0110,Nuance Communications,target_entity,0.8764,Direct Exposure,1.0,0.9583,0.7014,0.4444,1,5,cascading_2hop,FIRM_0003,Activision Blizzard,FIRM_0097,Microsoft,0.16921,subsidiary→subsidiary,operational→operational,0.3,1.0,0.0,1.0,
2024,1,FIRM_0110,Nuance Communications,target_entity,0.8764,Direct Exposure,1.0,0.9583,0.7014,0.4444,1,5,cascading_2hop,FIRM_0110,Nuance Communications,FIRM_0097,Microsoft,0.27388,subsidiary→subsidiary,operational→operational,0.3,1.0,1.0,1.0,
2024,1,FIRM_0110,Nuance Communications,target_entity,0.8764,Direct Exposure,1.0,0.9583,0.7014,0.4444,1,5,cascading_2hop,FIRM_0084,LinkedIn,FIRM_0097,Microsoft,0.23899,subsidiary→subsidiary,operational→operational,0.3,0.5,1.0,1.0,
2024,1,FIRM_0110,Nuance Communications,target_entity,0.8764,Direct Exposure,1.0,0.9583,0.7014,0.4444,1,5,cascading_2hop,FIRM_0060,GitHub,FIRM_0097,Microsoft,0.2041,subsidiary→subsidiary,operational→operational,0.3,0.0,1.0,1.0,
2024,2,FIRM_0115,OpenAI,target_entity,0.8667,Direct Exposure,0.9861,0.9444,0.7014,0.4444,1,5,direct_1hop,FIRM_0097,Microsoft,,,0.5167,ai_provider,operational,0.5,0.5,1.0,1.0,
2024,2,FIRM_0115,OpenAI,target_entity,0.8667,Direct Exposure,0.9861,0.9444,0.7014,0.4444,1,5,cascading_2hop,FIRM_0115,OpenAI,FIRM_0097,Microsoft,0.26694,ai_provider→ai_provider,operational→operational,0.5,0.5,1.0,1.0,
2024,2,FIRM_0115,OpenAI,target_entity,0.8667,Direct Exposure,0.9861,0.9444,0.7014,0.4444,1,5,cascading_2hop,FIRM_0003,Activision Blizzard,FIRM_0097,Microsoft,0.16706,subsidiary→ai_provider,operational→operational,0.3,1.0,0.0,1.0,
2024,2,FIRM_0115,OpenAI,target_entity,0.8667,Direct Exposure,0.9861,0.9444,0.7014,0.4444,1,5,cascading_2hop,FIRM_0110,Nuance Communications,FIRM_0097,Microsoft,0.27039,subsidiary→ai_provider,operational→operational,0.3,1.0,1.0,1.0,
2024,2,FIRM_0115,OpenAI,target_entity,0.8667,Direct Exposure,0.9861,0.9444,0.7014,0.4444,1,5,cascading_2hop,FIRM_0084,LinkedIn,FIRM_0097,Microsoft,0.23594,subsidiary→ai_provider,operational→operational,0.3,0.5,1.0,1.0,
2024,2,FIRM_0115,OpenAI,target_entity,0.8667,Direct Exposure,0.9861,0.9444,0.7014,0.4444,1,5,cascading_2hop,FIRM_0060,GitHub,FIRM_0097,Microsoft,0.2015,subsidiary→ai_provider,operational→operational,0.3,0.0,1.0,1.0,
2024,3,FIRM_0084,LinkedIn,target_entity,0.8542,Direct Exposure,0.9722,0.9167,0.7014,0.4444,1,5,direct_1hop,FIRM_0097,Microsoft,,,0.4567,subsidiary,operational,0.3,0.5,1.0,1.0,
2024,3,FIRM_0084,LinkedIn,target_entity,0.8542,Direct Exposure,0.9722,0.9167,0.7014,0.4444,1,5,cascading_2hop,FIRM_0115,OpenAI,FIRM_0097,Microsoft,0.23594,ai_provider→subsidiary,operational→operational,0.5,0.5,1.0,1.0,
2024,3,FIRM_0084,LinkedIn,target_entity,0.8542,Direct Exposure,0.9722,0.9167,0.7014,0.4444,1,5,cascading_2hop,FIRM_0003,Activision Blizzard,FIRM_0097,Microsoft,0.14766,subsidiary→subsidiary,operational→operational,0.3,1.0,0.0,1.0,
